iter	Passed	Remaining
410	4814	6899
411	4824	6885
412	4835	6872
413	4846	6860
414	4856	6846
415	4867	6833
416	4878	6820
417	4889	6807
418	4901	6797
419	4912	6783
420	4922	6770
421	4934	6758
422	4945	6745
423	4956	6732
424	4967	6720
425	4978	6707
426	4988	6694
427	4999	6681
428	5010	6668
429	5021	6656
430	5032	6643
431	5043	6631
432	5054	6618
433	5065	6605
434	5076	6593
435	5087	6581
436	5098	6568
437	5108	6555
438	5119	6542
439	5130	6529
440	5142	6518
441	5155	6508
442	5170	6501
443	5182	6489
444	5191	6475
445	5202	6462
446	5212	6448
447	5223	6436
448	5233	6422
449	5243	6409
450	5254	6396
451	5266	6385
452	5281	6376
453	5294	6366
454	5305	6355
455	5318	6344
456	5331	6334
457	5345	6326
458	5356	6313
459	5367	6301
460	5385	6296
461	5406	6296
462	5420	6286
463	5432	6275
464	5443	6262
465	5452	6248
466	5462	6234
467	5472	6220
468	5482	6207
469	5497	6199
470	5510	6189
471	5521	6176
472	5532	6163
473	5546	6155
474	5561	6146
475	5571	6133
476	5581	6120
477	5592	6106
478	5602	6093
479	5613	6081
480	5624	6068
481	5634	6055
482	5645	6042
483	5657	6031
484	5668	6019
485	5678	6005
486	5691	5994
487	5702	5982
488	5712	5969
489	5723	5956
490	5733	5943
491	5744	5931
492	5755	5918
493	5766	5906
494	5782	5899
495	5793	5886
496	5803	5873
497	5812	5859
498	5822	5845
499	5831	5831
500	5841	5818
501	5850	5804
502	5860	5790
503	5870	5777
504	5880	5763
505	5890	5750
506	5900	5737
507	5910	5724
508	5920	5711
509	5931	5698
510	5940	5685
511	5954	5675
512	5966	5663
513	5979	5653
514	5991	5642
515	6003	5630
516	6016	5620
517	6027	5608
518	6038	5596
519	6049	5583
520	6059	5571
521	6069	5558
522	6079	5544
523	6088	5530
524	6097	5517
525	6107	5503
526	6117	5490
527	6126	5476
528	6135	5462
529	6145	5449
530	6154	5436
531	6165	5423
532	6175	5411
533	6186	5398
534	6197	5386
535	6208	5374
536	6218	5361
537	6229	5349
538	6240	5337
539	6252	5325
540	6262	5313
541	6274	5302
542	6286	5290
543	6297	5279
544	6309	5267
545	6320	5255
546	6331	5243
