iter	MultiClass
0	1.063491645
1	1.033062978
2	1.005835778
3	0.9780678292
4	0.9541516232
5	0.9340993645
6	0.9148724225
7	0.8962490158
8	0.880249621
9	0.864403516
10	0.8484605449
11	0.8334996471
12	0.8221381467
13	0.809715906
14	0.7981121583
15	0.7871738719
16	0.7766966851
17	0.7686394477
18	0.7611770144
19	0.7542024595
20	0.746278679
21	0.7402928818
22	0.7331631775
23	0.7271992942
24	0.7213194329
25	0.7168216403
26	0.7114357111
27	0.7064074263
28	0.7018464875
29	0.6978091938
30	0.693181025
31	0.6885523009
32	0.6847477711
33	0.6806808614
34	0.6770208727
35	0.6733746631
36	0.6701809322
37	0.666759512
38	0.6636992362
39	0.6607573101
40	0.6576324421
41	0.6551733967
42	0.6527571039
43	0.6505493683
44	0.6482562422
45	0.6463074024
46	0.6440434433
47	0.641650369
48	0.6391758384
49	0.6374048631
50	0.6353128875
51	0.6338001092
52	0.6318797982
53	0.630029062
54	0.6285137776
55	0.6269235085
56	0.625062316
57	0.6226775375
58	0.620967112
59	0.6194162237
60	0.6178901046
61	0.6163553026
62	0.6150190438
63	0.6134394566
64	0.6123851004
65	0.6109082026
66	0.6096071836
67	0.6081669816
68	0.6072030512
69	0.6055868345
70	0.6045161367
71	0.603537654
72	0.6019694872
73	0.6002238117
74	0.5987536074
75	0.5975857047
76	0.596535748
77	0.5952406859
78	0.5943244144
79	0.5932489723
80	0.5922566855
81	0.5912693841
82	0.5903933969
83	0.589370137
84	0.5882614565
85	0.5873571297
86	0.586550933
87	0.5855403646
88	0.5847270459
89	0.5838193356
90	0.5833341319
91	0.5827369316
92	0.5821594767
93	0.5812686391
94	0.580572358
95	0.5799525856
96	0.5792532664
97	0.5784013442
98	0.5777206474
99	0.5770672947
100	0.5761471435
101	0.5753724909
102	0.5745793312
103	0.5737480291
104	0.5731225719
105	0.5724283483
106	0.5719027341
107	0.5711108477
108	0.5703981282
109	0.5696939496
110	0.5691514497
111	0.5684068864
112	0.5678892481
113	0.5672253282
114	0.566665387
115	0.5661167363
116	0.5656118642
117	0.5647895352
118	0.5640123566
119	0.5636487731
120	0.5631379061
121	0.5624506354
122	0.5619292774
123	0.5612133621
124	0.5603966626
125	0.5599824326
126	0.5595987109
127	0.5590934199
128	0.5585007962
129	0.5580578015
130	0.5575879492
131	0.5568304124
132	0.556302923
133	0.5556760866
134	0.5549785532
135	0.5544261312
136	0.5538950386
137	0.5533646568
138	0.5526780795
139	0.5520620679
140	0.5516089311
141	0.550999856
142	0.5503790025
143	0.5500261662
144	0.549589255
145	0.5491968415
146	0.5486485623
147	0.5482721776
148	0.547800522
149	0.5470496348
150	0.5466090245
151	0.5461087333
152	0.5457677296
153	0.5452141883
154	0.5447496383
155	0.5444279777
156	0.5438266498
157	0.5434414367
158	0.5428133556
159	0.5423399594
160	0.5417085963
161	0.5413538382
162	0.5409752371
163	0.5404643889
164	0.5397496555
165	0.5389723893
166	0.5384203025
167	0.537995695
168	0.5375156058
169	0.536988482
170	0.5365887531
171	0.5362739338
172	0.5360662358
173	0.5354579062
174	0.534945891
175	0.5345321799
176	0.5339855591
177	0.5336860247
178	0.5332510933
179	0.5327372138
180	0.5323247513
181	0.5318630353
182	0.5315982109
183	0.5310615779
184	0.5307740027
185	0.53022644
186	0.5297876478
187	0.5293147171
188	0.5289407561
189	0.5284645845
190	0.5278594287
191	0.5273339146
192	0.52690268
193	0.5265331847
194	0.5260847246
195	0.5257972583
196	0.5254591514
197	0.5251500504
198	0.5247132781
199	0.5242971495
200	0.5240552905
201	0.523706879
202	0.5232162424
203	0.5229288866
204	0.5225610849
205	0.5219662763
206	0.5216918396
207	0.5211911178
208	0.5209099113
209	0.5203015918
210	0.519623937
211	0.519319213
212	0.518906658
213	0.5185375551
214	0.5182896152
215	0.5179014315
216	0.5175820772
217	0.5172375496
218	0.5169007457
219	0.5166623948
220	0.5162867049
221	0.5156776575
222	0.5152390776
223	0.5148113823
224	0.5143639341
225	0.5140649164
226	0.5137578284
227	0.5135155029
228	0.5133007485
229	0.5130384199
230	0.5126820744
231	0.5125012496
232	0.5123408107
233	0.512161809
234	0.5119449151
235	0.5115430553
236	0.5112850975
237	0.5107230965
238	0.5103159209
239	0.5097776048
240	0.5093853343
241	0.5090549587
242	0.5087008915
243	0.5084986963
244	0.5081277217
245	0.507872407
246	0.5076750484
247	0.5073618358
248	0.5070026584
249	0.5066171754
250	0.5063564919
251	0.5059545477
252	0.5057158035
253	0.5053464522
254	0.5049044159
255	0.5045264295
256	0.5042204065
257	0.5038155355
258	0.5035434678
259	0.50333515
260	0.5029825821
261	0.5026401264
262	0.5021283136
263	0.5019067594
264	0.5016278756
265	0.5013175507
266	0.5008898026
267	0.500462544
268	0.5002384019
269	0.4999153801
270	0.4996877531
271	0.4992891862
272	0.4987329622
273	0.4985327702
274	0.4982433056
275	0.4979366741
276	0.4974571841
277	0.4970953942
278	0.4967173984
279	0.4963380393
280	0.4960513837
281	0.495789268
282	0.4956652103
283	0.4951320051
284	0.4947543995
285	0.4944348537
286	0.4942835419
287	0.4939552751
288	0.4934809295
289	0.4933200434
290	0.4929928802
291	0.4926562158
292	0.4922270925
293	0.4919564893
294	0.4916383053
295	0.4913354167
296	0.4910296435
297	0.4908702344
298	0.4905943815
299	0.4903697237
300	0.4899436341
301	0.4894807125
302	0.4890357268
303	0.4885840278
304	0.48838888
305	0.4882172535
306	0.4878702685
307	0.4876734465
308	0.4873875609
309	0.4871909057
310	0.486905678
311	0.4865913913
312	0.4862332705
313	0.4859795035
314	0.4858051727
315	0.4855784791
316	0.4852621767
317	0.4848656388
318	0.4846073934
319	0.48436613
320	0.4840257413
321	0.4837067685
322	0.483456983
323	0.4831707591
324	0.4826922727
325	0.4824186966
326	0.4820917011
327	0.4818248374
328	0.4815363849
329	0.4813407976
330	0.481133865
331	0.4809596183
332	0.480674404
333	0.480443393
334	0.4802157518
335	0.4801109423
336	0.4798842285
337	0.4794868691
338	0.4793044943
339	0.4789085054
340	0.4786473602
341	0.478230106
342	0.478009307
343	0.4777776541
344	0.4773283867
345	0.4771101572
346	0.4768678917
347	0.4765531264
348	0.4762870572
349	0.4760369423
350	0.4757727061
351	0.4755390559
352	0.4752917015
353	0.4750008878
354	0.4746217926
355	0.4742785578
356	0.4739143822
357	0.4736870217
358	0.4733201286
359	0.4729868691
360	0.4727758387
